City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Chara,RU,2022-03-08 17:58:36,56.9064,118.2631,10.81,88,85,1.48
152,Kavaratti,IN,2022-03-08 17:58:37,10.5669,72.642,82.26,67,31,5.39
153,Isla Mujeres,MX,2022-03-08 17:57:53,21.2311,-86.731,84.16,75,50,12.73
154,East London,ZA,2022-03-08 17:57:04,-33.0153,27.9116,72.54,78,20,2.3
155,Progreso,MX,2022-03-08 17:58:38,21.2833,-89.6667,88.72,49,23,6.08
156,Kushima,JP,2022-03-08 17:58:38,31.4583,131.2333,45.41,80,1,4.34
157,Torrington,US,2022-03-08 17:58:38,41.8007,-73.1212,43.79,44,18,11.01
158,Nikolskoye,RU,2022-03-08 17:58:39,59.7035,30.7861,15.69,96,55,3.62
159,Sao Gabriel Da Cachoeira,BR,2022-03-08 17:58:39,-0.1303,-67.0892,80.4,83,20,5.75
160,Tura,IN,2022-03-08 17:58:40,25.5198,90.2201,70.45,35,0,2.3
161,Namibe,AO,2022-03-08 17:58:40,-15.1961,12.1522,74.19,73,100,11.23
162,Lere,NG,2022-03-08 17:58:41,10.387,8.5726,88.36,14,75,4.59
163,Rocha,UY,2022-03-08 17:58:41,-34.4833,-54.3333,78.51,41,0,8.3
164,Maragogi,BR,2022-03-08 17:57:28,-9.0122,-35.2225,82.89,68,100,8.39
165,Marechal Candido Rondon,BR,2022-03-08 17:58:42,-24.5561,-54.0567,97.25,37,28,7.05
166,Suez,EG,2022-03-08 17:58:42,29.9737,32.5263,68.31,36,62,4.12
167,Atambua,ID,2022-03-08 17:58:43,-9.1061,124.8925,72.63,90,99,3.09
168,Vostok,RU,2022-03-08 17:58:43,46.4856,135.8833,5.79,98,64,4.92
169,Ahuimanu,US,2022-03-08 17:58:44,21.4447,-157.8378,73.85,90,52,1.99
170,Kavieng,PG,2022-03-08 17:58:44,-2.5744,150.7967,81.61,79,75,12.3
171,Saint-Georges,GD,2022-03-08 17:57:19,12.0564,-61.7485,85.68,58,40,23.02
172,Mogadishu,SO,2022-03-08 17:58:45,2.0371,45.3438,79.12,86,42,18.59
173,Staraya Kulatka,RU,2022-03-08 17:58:45,52.7167,47.6167,17.38,97,99,4.41
174,Bongor,TD,2022-03-08 17:58:46,10.2806,15.3722,97.36,11,81,3.06
175,Nanhai,CN,2022-03-08 17:58:46,30.1282,111.7784,54.61,77,0,2.28
176,Ponta Do Sol,PT,2022-03-08 17:58:46,32.6667,-17.1,65.71,66,69,2.13
177,Cape Town,ZA,2022-03-08 17:54:10,-33.9258,18.4232,75.11,59,0,11.5
178,Topeka,US,2022-03-08 17:54:00,39.0483,-95.678,40.44,60,13,4.0
179,Pevek,RU,2022-03-08 17:58:47,69.7008,170.3133,-13.38,100,89,1.77
180,Beloha,MG,2022-03-08 17:58:48,-25.1667,45.05,75.69,86,0,11.99
181,Jacareacanga,BR,2022-03-08 17:58:48,-6.2222,-57.7528,80.53,89,94,0.4
182,Bagotville,AU,2022-03-08 17:58:49,-28.9833,153.4167,73.22,98,0,5.59
183,San Antonio,US,2022-03-08 17:58:36,29.4241,-98.4936,53.15,62,100,9.22
184,Flinders,AU,2022-03-08 17:59:50,-34.5833,150.8552,69.21,92,100,22.28
185,Egvekinot,RU,2022-03-08 17:59:50,66.3167,-179.1667,13.93,81,7,9.26
186,Manitouwadge,CA,2022-03-08 17:59:50,49.1215,-85.8403,29.12,90,99,15.17
187,Dunedin,NZ,2022-03-08 17:59:51,-45.8742,170.5036,57.79,82,85,7.0
188,Jadu,LY,2022-03-08 17:59:51,31.953,12.0261,48.45,67,72,9.91
189,Aklavik,CA,2022-03-08 17:59:52,68.2191,-135.0107,2.12,84,20,4.61
190,Huoqiu,CN,2022-03-08 17:59:52,32.3394,116.2694,53.47,61,2,6.35
191,Tromso,NO,2022-03-08 17:59:53,69.6496,18.957,32.38,80,0,5.75
192,Guajara,BR,2022-03-08 17:59:53,-2.9667,-57.6667,82.33,84,98,2.42
193,Rangapara,IN,2022-03-08 17:59:54,26.8167,92.65,70.77,35,0,1.9
194,Pangnirtung,CA,2022-03-08 17:59:54,66.1451,-65.7125,-0.4,71,100,3.44
195,Tulua,CO,2022-03-08 17:59:54,4.0847,-76.1954,80.42,58,65,1.45
196,Hithadhoo,MV,2022-03-08 17:59:55,-0.6,73.0833,83.21,67,96,10.22
197,Baruun-Urt,MN,2022-03-08 17:59:55,46.6806,113.2792,30.2,56,100,11.88
198,Pionki,PL,2022-03-08 17:59:34,51.476,21.4499,38.21,52,99,5.61
199,Clyde River,CA,2022-03-08 17:59:56,70.4692,-68.5914,-7.37,77,100,14.97
200,Kuala Terengganu,MY,2022-03-08 17:59:56,5.3302,103.1408,80.55,89,20,2.3
201,Ituporanga,BR,2022-03-08 17:59:57,-27.4144,-49.6025,89.01,56,51,2.77
202,Deputatskiy,RU,2022-03-08 17:59:57,69.3,139.9,-31.95,100,15,1.61
203,Comodoro Rivadavia,AR,2022-03-08 17:59:58,-45.8667,-67.5,66.06,39,100,16.11
204,Nanjing,CN,2022-03-08 17:59:58,32.0617,118.7778,54.77,66,0,4.72
205,Fuyang,CN,2022-03-08 17:59:58,32.9,115.8167,51.22,65,7,5.32
206,Carnarvon,AU,2022-03-08 17:59:59,-24.8667,113.6333,80.67,65,0,9.22
207,Yulara,AU,2022-03-08 17:56:35,-25.2406,130.9889,66.04,42,0,5.75
208,Bethel,US,2022-03-08 18:00:00,41.3712,-73.414,45.09,44,53,3.0
